Course ID,Offer Nbr,Term,Session,Section,Institution,Acad Group,Subject,Catalog,Career,Descr,Class Nbr,Descr,Component,Enrl Stat,Class Stat,Class Type,Assoc,WL Daemon,Auto Enrol,Stdnt Spec,Auto Enrol,Auto Enr 2,Resection,Sch Print,Consent,Cap Enrl,Wait Cap,Min Enrl,Tot Enrl,Wait Tot,Topic ID,Print,Acad Org,Next Pos,ID,Campus,Location,Event ID,Mode,Equiv Crs,Override,Req Rm Cap,Start Date,End Date,Cancel Dt,Prim Sect,Comb Sect,Hol Sched,Exam Spcng,Include,Calc Reqd,Generate,Synch Mtg,Fees Exist,Cancel Enroll,From ItemTyp,Bus Unit,Ledger,Account,DeptID,Project,Prod,Fund,Program,Class,Affl,Operating Unit,Alt. Account,Budget Ref,Chartfield1,Chartfield2,Chartfield3,Fund Affil,Oper Unit Affil,Bus Unit,Ledger,Account,DeptID,Project,Prod,Fund,Program,Class,Affl,Operating Unit,Alt. Account,Budget Ref,Chartfield1,Chartfield2,Chartfield3,Fund Affil,Oper Unit Affil,Ext Wrtoff,Required,Extract Type,LMS Group ID,LMS URL,Class Ext Dttm,Enrl Ext Dttm,Authentication,Drop Consent
105846,1,2151,BSO,646,CUBLD,ARSC,ENGL,3116,UGRD,Topics in Adv Theory,37702,"Studies special topics in theory; specially designed for English majors. Topics vary each semester. May be repeated up to 6 total credit hours different topics. Prereq., sophomore standing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",LEC,O,A,E,4,N,N,N,,,,N,N,35,0,0,0,0,5,Y,B-ENGL,0,,CEPS,013-B,,OS,,N,35,12/15/2014,5/11/2015,,646,C,ACAD,1,N,N,N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
105846,1,2151,BSO,640,CUBLD,ARSC,ENGL,3116,UGRD,Topics in Adv Theory,37681,"Studies special topics in theory; specially designed for English majors. Topics vary each semester. May be repeated up to 6 total credit hours different topics. Prereq., sophomore standing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",LEC,O,A,E,3,N,N,N,,,,Y,N,35,0,0,0,0,5,Y,B-ENGL,0,,CEPS,013-B,,OS,,N,35,12/15/2014,5/11/2015,,640,C,ACAD,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
104734,1,2151,BCF,740,CUBLD,ENGR,ECEN,4043,UGRD,Special Topics,35966,,LEC,C,A,E,1,N,Y,N,,,,Y,D,3,999,0,3,1,3,Y,B-ECEN,70,,CEPS,013-B,,OL,,N,3,1/12/2015,5/1/2015,,740,C,ACAD,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
104822,1,2151,BCF,740,CUBLD,ENGR,ECEN,5032,GRAD,Special Topics,34935,,LEC,O,A,E,2,N,Y,N,,,,Y,N,25,999,0,2,0,2,Y,B-ECEN,40,,CEPS,013-B,,OT,,N,25,1/12/2015,5/1/2015,,740,C,ACAD,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
109281,1,2151,BCE,570,CUBLD,MUSC,IMUS,5093,GRAD,Cont Topics in Mus Educ,38112,,LEC,O,A,E,1,N,N,N,,,,N,N,6,0,0,0,0,17,Y,B-MUSC,10,,CEPS,013-B,,OL,,N,6,1/12/2015,5/4/2015,,570,,ACAD,1,N,N,N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,D
104941,1,2151,BCF,740,CUBLD,ENGR,ECEN,6005,GRAD,Special Topics,40296,,LEC,O,A,E,2,N,Y,N,,,,Y,N,25,0,0,0,0,2,Y,B-ECEN,10,,CEPS,013-B,,OT,,N,25,1/12/2015,5/1/2015,,740,,ACAD,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
117052,1,2151,CED,501,CUSPG,CLAS,AH,2810,UGRD,Survey: Medieval Art,40188,"A survey of the arts of early Christian, Byzantine, early Medieval, Romanesque, and Gothic periods. Approved for LAS Humanities area requirement. GT-AH1.",LEC,O,A,E,501,N,Y,N,,,,Y,D,5,2,0,0,0,0,N,C-VAPA,10,,EXSTU,NET,,OL,,N,20,1/20/2015,3/30/2015,,501,,CREG,1,N,N,N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
117052,1,2151,CDD,OL1,CUSPG,CLAS,AH,2810,UGRD,Survey: Medieval Art,30113,"A survey of the arts of early Christian, Byzantine, early Medieval, Romanesque, and Gothic periods. Approved for LAS Humanities area requirement. GT-AH1.",LEC,O,A,E,991,N,Y,N,,,,Y,N,18,50,0,10,0,0,N,C-VAPA,120,,COSPG,ONLINE,,OL,,N,18,1/20/2015,3/30/2015,,OL1,,CREG,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
119290,1,2151,C,OL1,CUSPG,ENGR,ENGR,9500,GRAD,Independent Study in Engr,38088,"An opportunity for graduate students to do independent, creative work in systems engineering and/or engineering management. Prer., prior agreement with faculty advisor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",IND,O,A,E,991,N,Y,N,,,,N,N,5,0,0,1,0,0,N,C-ENGS,20,,COSPG,ONLINE,,OL,,N,5,1/20/2015,5/16/2015,,OL1,,CREG,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
119952,1,2151,C,OL2,CUSPG,CLAS,HIST,1540,UGRD,U.S.: Recent Amer 1918-Present,38102,"Survey of America's social, political, economic and cultural history during the time the U.S. has been a world power. The roots of contemporary society, with emphasis on the emergence of a multicultural America. GT-HI1.",LEC,O,A,E,992,N,Y,N,,,,Y,N,20,50,0,3,0,0,N,C-HIST,50,,COSPG,ONLINE,,OL,,N,20,1/20/2015,5/16/2015,,OL2,,CREG,1,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N
